,Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
67,76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520852
68,41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593916
69,83,14,Urban,Regular,80,4.77,Night,Premium,64,295.588711
70,44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.3385451
71,91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429042
72,54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899
73,59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671
74,72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.2581554
75,47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.0552744
76,32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343855
77,45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288
78,72,45,Urban,Silver,82,4.42,Night,Premium,40,151.5804041
79,56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046
80,42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515261
81,52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.9735688
82,81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.053128
83,77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.3441798
84,27,6,Urban,Gold,2,4.42,Night,Economy,86,320.3017092
85,74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.4921215
86,92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.1150237
87,77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621143
88,66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577543
89,77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.2404996
90,35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104
91,48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703
92,61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.4926184
93,71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451308
94,95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.4664425
95,76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.1453451
96,32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681265
97,49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608869
98,38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568748
99,92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.3570025
100,40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951
101,55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.0383299
102,58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.2629551
103,34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369765
104,70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024751
105,51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.0906902
106,88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576533
107,25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709
108,34,19,Rural,Regular,51,4.2,Night,Premium,166,754.23448
109,40,15,Urban,Regular,90,3.62,Night,Premium,42,211.5277288
110,26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.7592754
111,81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.1074735
112,80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.696213
113,64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961
114,45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026
115,84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062
116,34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.1158059
117,67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418775
118,93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.1690694
119,100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003273
120,35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.9628407
121,36,13,Rural,Silver,31,4.71,Night,Economy,71,221.5511001
122,28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.112701
123,21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389
124,26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923
125,97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.633356
126,26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572086
127,91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523524
128,65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891065
129,88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016247
130,82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273
131,65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.5196024
132,41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784
133,85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928861
134,35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133395
135,83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.1793412
136,91,31,Urban,Regular,12,4.39,Night,Economy,39,163.2145833
137,44,28,Rural,Regular,31,4.92,Night,Premium,132,402.8569895
138,96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351909
139,77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.5392948
140,91,80,Rural,Gold,74,4.74,Night,Economy,46,194.9355593
141,93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485036
142,41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.557234
143,61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147646
144,83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411
145,59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096
146,42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.0447303
147,81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793
148,72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.6583147
149,43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476
150,74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.36208132
151,68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093
152,36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569
153,51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576216
154,63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524
155,96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334
156,94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341
157,74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.0663629
158,91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381
159,69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.12824
160,51,20,Rural,Silver,57,3.68,Night,Economy,67,246.9229249
161,45,17,Rural,Gold,10,4.93,Night,Premium,148,430.0665305
162,92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.6387527
163,69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486
164,56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454569
165,43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872
166,86,48,Urban,Silver,37,4.15,Night,Economy,84,216.0505481
167,61,34,Urban,Gold,82,3.99,Night,Premium,10,83.8683562
168,50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420493
169,73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474
170,76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935712
171,87,41,Urban,Regular,87,4.36,Night,Economy,87,387.1117403
172,53,33,Rural,Regular,40,3.8,Morning,Premium,139,507.9505747
173,71,8,Suburban,Silver,57,3.68,Night,Economy,75,249.3029746
174,32,5,Rural,Gold,80,3.55,Night,Economy,14,45.91711193
175,91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,424.6120578
176,47,37,Suburban,Gold,64,3.75,Morning,Economy,31,85.9735753
177,23,13,Rural,Silver,42,4.55,Night,Economy,87,328.9669926
178,57,20,Rural,Regular,92,3.74,Morning,Economy,53,172.6294341
179,48,17,Suburban,Silver,2,4.09,Evening,Economy,85,261.9435329
180,22,5,Urban,Gold,39,4.92,Evening,Economy,56,199.0416803
181,60,19,Urban,Silver,37,4.22,Evening,Economy,68,232.2834549
182,94,42,Rural,Regular,0,4.23,Morning,Premium,36,185.3118381
183,43,6,Suburban,Silver,34,4.4,Morning,Premium,24,153.7614397
184,97,18,Suburban,Regular,53,4.25,Night,Premium,26,126.4771353
185,47,17,Rural,Silver,7,4.8,Morning,Economy,173,609.5038276
186,39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,287.1624376
187,50,39,Suburban,Regular,94,3.81,Evening,Premium,139,406.3248065
188,35,17,Urban,Regular,78,4.4,Evening,Premium,61,249.0371127
189,28,8,Suburban,Regular,69,3.86,Evening,Premium,175,620.9016916
190,51,32,Rural,Regular,98,4.44,Morning,Premium,51,267.0607017
191,54,12,Suburban,Silver,84,4.98,Evening,Premium,172,715.7547931
192,65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,430.3854879
193,61,26,Rural,Gold,21,3.85,Morning,Premium,126,604.273047
194,46,9,Suburban,Silver,67,4.22,Evening,Premium,47,243.5250632
195,73,50,Urban,Regular,7,4.22,Night,Economy,45,176.2144067
196,86,49,Urban,Regular,99,3.51,Night,Economy,130,471.4796321
197,75,7,Suburban,Gold,100,4.13,Morning,Economy,134,453.3769494
198,39,29,Suburban,Silver,12,4.24,Evening,Economy,97,251.1073065
199,33,6,Rural,Gold,90,4.81,Night,Premium,139,521.8019208
200,40,29,Suburban,Silver,6,4.94,Night,Premium,71,346.4926515
201,54,35,Suburban,Silver,66,4.4,Night,Economy,77,234.0714535
202,53,26,Urban,Gold,54,4.6,Night,Premium,52,184.0244513
203,81,34,Urban,Silver,98,3.55,Afternoon,Premium,164,554.8869659
204,45,20,Urban,Regular,80,4.73,Morning,Economy,63,192.6197724
205,20,9,Urban,Silver,77,3.91,Evening,Economy,89,227.7965248
206,47,22,Rural,Silver,11,4.8,Afternoon,Premium,119,416.601649
207,33,18,Urban,Gold,90,3.61,Evening,Premium,146,671.7128294
208,78,57,Rural,Silver,5,4.82,Morning,Premium,127,552.6397714
209,26,12,Rural,Silver,9,3.75,Afternoon,Economy,115,321.3724051
210,62,21,Rural,Regular,61,4.57,Night,Economy,56,215.4338699
211,84,59,Suburban,Silver,67,4.27,Morning,Premium,164,758.9961232
212,49,8,Urban,Regular,1,4.06,Afternoon,Premium,157,694.4247149
213,34,22,Suburban,Gold,34,3.64,Morning,Economy,176,617.3632185
214,49,30,Rural,Silver,86,3.62,Afternoon,Premium,69,328.635369
215,83,50,Rural,Regular,7,3.66,Evening,Premium,100,376.3000601
216,88,5,Urban,Silver,89,3.59,Night,Economy,27,70.20380337
217,90,71,Suburban,Gold,88,3.84,Morning,Economy,167,451.684865
218,65,5,Rural,Silver,24,3.54,Night,Economy,119,301.4039268
219,73,28,Urban,Silver,22,4.57,Afternoon,Economy,53,153.3960711
220,85,62,Suburban,Silver,54,3.78,Morning,Economy,114,339.6623042
221,65,27,Rural,Gold,62,3.54,Night,Premium,162,733.4425367
222,74,42,Urban,Gold,88,3.5,Evening,Economy,77,203.836381
223,41,7,Rural,Gold,68,4.3,Evening,Premium,66,284.5088586
224,79,23,Urban,Gold,88,3.88,Night,Economy,164,492.1134584
225,53,7,Urban,Silver,64,4.55,Night,Premium,10,86.19117981
226,35,14,Urban,Silver,74,5.0,Night,Premium,175,727.8809448
227,53,40,Rural,Gold,79,3.66,Evening,Premium,30,158.6526416
228,36,23,Urban,Silver,42,4.66,Morning,Economy,14,44.52503661
229,38,25,Urban,Regular,2,4.24,Morning,Premium,128,452.4258269
230,52,36,Rural,Silver,1,4.52,Morning,Premium,36,152.6404792
231,91,64,Suburban,Regular,26,4.56,Morning,Premium,96,420.2245689
232,87,5,Urban,Silver,59,4.32,Night,Economy,42,151.3593007
233,96,20,Suburban,Gold,88,3.6,Evening,Premium,71,242.2719657
234,83,59,Urban,Gold,8,4.85,Morning,Economy,31,119.0485544
235,48,23,Rural,Gold,0,4.46,Afternoon,Economy,174,472.5695408
236,65,19,Suburban,Silver,24,4.59,Evening,Economy,96,334.6493506
237,79,29,Suburban,Silver,0,4.86,Morning,Economy,127,406.0855257
238,100,22,Suburban,Silver,45,4.23,Night,Premium,141,551.3651376
239,73,63,Suburban,Silver,25,4.19,Afternoon,Economy,129,534.0181946
240,79,67,Rural,Gold,56,4.01,Evening,Premium,151,501.2363001
241,88,55,Rural,Regular,56,4.0,Night,Premium,26,159.6069186
242,76,34,Suburban,Silver,10,4.92,Morning,Economy,103,359.801051
243,49,30,Suburban,Silver,80,3.74,Night,Economy,85,348.6695625
244,100,64,Rural,Regular,7,4.89,Night,Premium,115,490.504076
245,87,26,Rural,Gold,63,4.2,Morning,Premium,118,485.6832395
246,22,5,Rural,Silver,93,4.85,Evening,Economy,99,424.9275102
247,21,11,Rural,Silver,23,3.76,Afternoon,Economy,12,40.44289065
248,93,57,Suburban,Regular,34,4.89,Morning,Premium,80,258.4249153
249,28,15,Rural,Gold,90,4.25,Night,Premium,177,511.929391
250,97,7,Urban,Silver,22,3.74,Afternoon,Premium,147,441.746701
251,48,12,Urban,Silver,51,4.63,Night,Premium,32,175.5180543
252,70,37,Urban,Silver,10,3.65,Night,Premium,168,658.5834277
253,78,12,Rural,Silver,99,4.3,Afternoon,Economy,95,299.2909931
254,25,7,Rural,Regular,24,3.85,Evening,Premium,144,494.8027992
255,24,9,Urban,Gold,6,4.05,Afternoon,Premium,69,223.519012
256,92,37,Rural,Silver,7,4.92,Morning,Premium,103,434.5710508
257,43,33,Rural,Gold,16,4.01,Morning,Premium,159,630.4284013
258,96,23,Urban,Gold,8,4.23,Morning,Premium,90,445.1254111
259,88,46,Rural,Gold,35,4.89,Afternoon,Premium,72,361.985521
260,83,43,Suburban,Regular,20,3.59,Morning,Economy,63,267.2821971
261,50,29,Urban,Regular,2,4.81,Morning,Economy,143,518.954763
262,97,75,Urban,Regular,15,4.94,Afternoon,Economy,163,575.4934492
263,84,24,Suburban,Regular,39,4.08,Afternoon,Economy,86,349.4432162
264,68,40,Suburban,Silver,58,4.64,Morning,Premium,68,279.2349662
265,77,30,Urban,Regular,99,4.7,Evening,Premium,179,689.7483155
266,82,67,Urban,Regular,13,4.43,Afternoon,Economy,33,88.76294359
267,21,8,Suburban,Gold,37,3.71,Evening,Premium,171,621.7963495
268,75,24,Rural,Regular,44,3.79,Night,Premium,72,307.6219494
269,61,9,Urban,Gold,74,3.98,Evening,Premium,32,172.4105313
270,90,13,Suburban,Regular,24,3.73,Afternoon,Economy,126,444.2453021
271,100,21,Suburban,Regular,20,3.52,Night,Premium,163,556.8967118
272,93,31,Suburban,Gold,13,3.58,Afternoon,Premium,101,355.3245755
273,92,14,Urban,Silver,57,3.73,Morning,Premium,133,474.9977391
274,61,12,Rural,Gold,59,4.72,Afternoon,Premium,178,581.9712306
275,53,12,Suburban,Gold,79,3.6,Night,Premium,154,663.4393972
276,55,21,Urban,Regular,20,3.56,Night,Premium,134,519.4694924
277,57,45,Rural,Gold,78,4.43,Afternoon,Premium,112,397.6919501
278,34,8,Suburban,Silver,51,4.09,Afternoon,Premium,130,388.1122299
279,50,11,Suburban,Silver,19,4.87,Morning,Economy,144,591.100076
280,35,22,Rural,Silver,82,3.79,Afternoon,Economy,174,586.7988633
281,43,14,Suburban,Regular,1,3.53,Night,Premium,134,648.9097429
282,50,25,Suburban,Silver,19,4.32,Night,Economy,176,746.3391325
283,55,19,Urban,Regular,64,4.34,Morning,Premium,129,555.0976878
284,93,67,Urban,Silver,21,4.88,Night,Premium,87,417.9131413
285,94,69,Urban,Silver,86,4.12,Morning,Premium,18,97.80093622
286,70,60,Urban,Regular,57,4.05,Afternoon,Premium,43,193.089112
287,36,25,Suburban,Regular,61,3.64,Night,Economy,132,492.4640116
288,37,9,Suburban,Silver,73,4.8,Morning,Economy,124,408.8156288
289,68,46,Urban,Gold,8,4.21,Afternoon,Economy,116,364.1617948
290,77,15,Suburban,Regular,47,4.47,Morning,Economy,66,228.6434979
291,27,12,Suburban,Silver,64,4.7,Evening,Economy,149,667.946428
292,90,56,Suburban,Silver,61,4.38,Night,Premium,91,410.342709
293,46,23,Suburban,Regular,19,4.92,Afternoon,Economy,169,710.4192642
294,96,80,Urban,Regular,47,3.77,Morning,Economy,70,177.2030658
295,80,6,Rural,Silver,43,4.81,Night,Economy,24,74.32837978
296,80,31,Suburban,Silver,91,4.61,Evening,Premium,127,392.3027601
297,64,25,Suburban,Silver,85,4.46,Afternoon,Premium,37,168.6101943
298,57,42,Rural,Silver,36,3.59,Afternoon,Premium,167,587.2581373
299,52,7,Rural,Silver,57,4.82,Night,Economy,180,563.9803273
300,69,56,Urban,Regular,73,4.02,Night,Premium,116,352.3474983
301,67,54,Suburban,Regular,53,3.67,Morning,Economy,110,415.3075369
302,25,7,Rural,Silver,13,4.07,Afternoon,Premium,60,204.2158433
303,80,35,Rural,Regular,29,4.49,Night,Economy,79,319.6520701
304,73,6,Suburban,Silver,5,4.03,Night,Premium,71,362.0533307
305,24,6,Urban,Regular,65,4.29,Afternoon,Premium,106,387.4755378
306,37,14,Rural,Gold,18,4.36,Evening,Economy,85,348.8532987
307,27,6,Rural,Regular,74,4.75,Afternoon,Premium,157,732.2985127
308,23,11,Urban,Regular,11,4.86,Afternoon,Economy,133,343.6721334
309,42,8,Rural,Gold,12,4.79,Morning,Premium,166,599.7162532
310,74,39,Urban,Silver,11,3.65,Morning,Economy,173,484.7545389
311,68,30,Urban,Regular,28,4.69,Night,Premium,134,581.1514566
312,59,9,Suburban,Silver,30,4.83,Afternoon,Economy,140,603.3651643
313,89,75,Rural,Silver,76,4.39,Evening,Economy,110,369.8546415
314,81,35,Suburban,Regular,45,4.11,Night,Economy,174,708.8801421
315,33,8,Suburban,Regular,74,4.52,Morning,Premium,56,205.8375505
316,75,28,Urban,Gold,49,4.46,Night,Economy,163,684.5607033
317,87,48,Suburban,Silver,95,4.73,Morning,Economy,162,453.2541299
318,56,37,Suburban,Silver,96,3.83,Afternoon,Premium,130,412.584838
319,75,32,Urban,Silver,20,3.69,Evening,Premium,96,440.4442377
320,99,54,Rural,Silver,96,3.77,Afternoon,Premium,61,241.6407114
321,33,16,Rural,Regular,81,4.08,Afternoon,Premium,50,201.2925319
322,41,28,Rural,Gold,89,4.47,Evening,Premium,45,220.0511403
323,55,19,Suburban,Silver,74,3.51,Morning,Economy,173,702.913416
324,93,51,Rural,Silver,12,4.98,Morning,Premium,90,431.4216603
325,54,35,Urban,Silver,11,4.49,Afternoon,Premium,96,466.8626811
326,34,20,Urban,Gold,21,4.15,Morning,Premium,158,445.1263612
327,86,18,Suburban,Silver,61,4.3,Afternoon,Premium,126,441.6378571
328,85,27,Suburban,Gold,8,4.11,Night,Premium,157,669.5210117
329,74,5,Suburban,Regular,80,3.63,Night,Economy,134,354.3852115
330,63,53,Rural,Gold,33,4.33,Afternoon,Economy,175,489.7125243
331,55,13,Suburban,Silver,45,3.71,Morning,Premium,40,222.568582
332,100,66,Suburban,Gold,27,3.53,Evening,Premium,106,412.2556068
333,51,27,Urban,Gold,86,3.82,Evening,Premium,152,472.2157353
334,37,10,Urban,Silver,33,4.86,Afternoon,Economy,44,179.9398803
335,99,71,Suburban,Gold,3,4.63,Morning,Premium,100,308.9111533
336,54,24,Rural,Silver,85,3.79,Evening,Economy,102,306.3142432
337,30,7,Rural,Gold,57,4.27,Morning,Premium,69,224.4648783
338,84,56,Urban,Silver,71,4.56,Evening,Premium,15,101.0737865
339,49,14,Suburban,Silver,55,4.43,Morning,Premium,131,633.4966221
340,86,10,Urban,Silver,98,4.8,Morning,Economy,18,62.87509274
341,48,24,Rural,Gold,17,3.98,Afternoon,Economy,29,92.03104706
342,67,18,Urban,Silver,78,3.81,Morning,Premium,22,106.7358926
343,100,16,Rural,Gold,96,3.65,Night,Premium,163,560.6703257
344,79,7,Rural,Silver,31,4.82,Night,Economy,100,322.9000695
345,99,9,Rural,Silver,33,4.98,Afternoon,Economy,110,292.3393609
346,34,24,Urban,Silver,3,4.41,Morning,Economy,97,242.751717
347,54,21,Urban,Silver,23,4.44,Evening,Premium,136,442.7796306
348,77,43,Suburban,Regular,73,4.07,Afternoon,Premium,131,505.5467165
349,80,21,Urban,Regular,85,4.21,Morning,Premium,146,474.9171618
350,74,54,Urban,Regular,16,4.35,Afternoon,Premium,147,617.4346784
351,57,38,Urban,Regular,31,3.97,Morning,Premium,64,294.8553699
352,97,66,Urban,Silver,90,3.6,Evening,Premium,150,717.467322
353,52,14,Suburban,Gold,97,4.83,Evening,Premium,66,266.977217
354,51,37,Rural,Regular,34,4.64,Afternoon,Economy,100,383.3711771
355,87,52,Urban,Gold,15,3.57,Night,Economy,66,266.4336179
356,91,42,Suburban,Silver,76,4.96,Morning,Economy,86,336.3943924
357,85,34,Rural,Regular,66,4.59,Morning,Premium,163,764.8593556
358,57,21,Rural,Silver,28,4.93,Night,Economy,141,588.6941798
359,28,8,Urban,Regular,67,3.78,Afternoon,Premium,58,305.2426677
360,58,30,Urban,Regular,32,4.14,Night,Economy,75,256.3738037
361,31,9,Rural,Gold,18,4.42,Morning,Premium,114,461.0193486
362,27,11,Suburban,Gold,88,4.5,Evening,Premium,144,581.7472844
363,90,75,Urban,Gold,88,4.1,Afternoon,Economy,106,472.5465909
364,54,8,Suburban,Regular,41,3.89,Morning,Economy,168,573.4835718
365,23,9,Suburban,Silver,50,3.84,Evening,Premium,34,192.3850222
366,94,64,Urban,Regular,62,4.87,Night,Economy,166,744.0359811
367,86,20,Suburban,Silver,51,3.75,Morning,Premium,110,412.2574631
368,79,55,Suburban,Regular,91,4.39,Morning,Economy,48,189.560565
369,73,13,Urban,Regular,93,3.95,Night,Economy,90,357.0434722
370,74,23,Urban,Regular,45,4.07,Morning,Premium,99,417.1740954
371,26,11,Urban,Gold,10,4.22,Morning,Premium,69,314.8447103
372,99,30,Urban,Regular,74,4.21,Morning,Premium,160,629.9546011
373,80,42,Urban,Gold,85,4.22,Night,Economy,131,473.561754
374,78,35,Rural,Regular,5,4.35,Evening,Premium,100,317.8809578
375,63,6,Urban,Gold,29,4.79,Evening,Premium,24,132.4992195
376,25,8,Rural,Regular,30,4.44,Night,Economy,115,430.785851
377,100,50,Urban,Regular,20,4.14,Evening,Economy,127,350.2265836
